SITE_NUM,Unit,LimitL,LimitU,,No_21,No_22,No_23,No_24,No_25,No_26,No_27,No_28,No_29,No_30,No_31,No_32,No_33,No_34,No_35,No_36,No_37,No_38,No_39,No_21,No_22,No_23,No_24,No_25,No_26,No_27,No_28,No_29,No_30,No_31,No_32,No_33,No_34,No_35,No_36,No_37,No_38,No_39,
PART_ID,,,,,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,
PASSFG,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,
SOFT_BIN,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,
T_TIME,ms,,,,25880,25840,25838,25907,25883,25813,25830,25872,25855,25837,25889,25898,25864,25838,25812,25836,25864,25898,25839,25528,25528,25528,25528,25528,25528,25528,25528,25529,25528,25529,25528,25528,25527,25528,25530,25528,25528,25529,
P2P_LEAK_CCM,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,-17.391304,2.380952,44.444444,-22.448980,-2.380952,-28.888889,-15.789474,-27.500000,16.666667,27.777778,-11.428571,-34.782609,-15.555556,-4.651163,-12.765957,43.333333,9.756098,4.347826,
P2P_LEAK_FB,%,-10,10,,NULL,NULL,NULL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,NULL,NULL,NULL,14.285714,250.000000,233.333333,33.333333,-11.111111,0.000000,122.222222,220.000000,166.666667,-15.789474,-18.750000,60.000000,433.333333,-84.210526,200.000000,-625.000000,
P2P_LEAK_COMP,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,46.153846,50.000000,100.000000,73.684211,50.000000,0.000000,400.000000,64.285714,59.090909,-16.000000,17.647059,47.058824,214.285714,144.444444,130.000000,10.000000,-23.809524,500.000000,100.000000,
P2P_LEAK_SS,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-25.000000,0.000000,50.000000,0.000000,0.000000,33.333333,0.000000,0.000000,50.000000,100.000000,0.000000,33.333333,33.333333,33.333333,0.000000,0.000000,50.000000,33.333333,0.000000,
P2P_LEAK_VCC,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-20.172084,-10.370010,-3.655352,-8.200000,-12.913753,0.777454,-1.292889,-3.573153,7.247132,-6.669866,-1.111111,-3.538977,0.696171,8.516196,-4.003955,-4.591590,1.524840,3.285217,-6.533143,
P2P_LEAK_EXTBIAS,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-4.347826,-83.333333,25.000000,-10.526316,-47.619048,-36.363636,-65.217391,-71.875000,-33.333333,-40.909091,-100.000000,-0.000000,-33.333333,-47.368421,57.142857,400.000000,6.250000,9.090909,-68.000000,
IQ_EXTBIAS,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.876095,0.375587,-0.407779,0.000000,0.284181,-0.188324,-0.062073,-0.221239,-0.126382,-0.095602,0.000000,-0.125905,0.283286,-0.123916,0.566929,0.285171,0.286533,0.158028,0.157183,
IQ,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.297339,5.885070,4.489279,9.527555,9.080308,6.534575,9.062020,8.254688,8.326295,7.142095,9.294486,7.527459,4.769162,9.571972,3.002087,8.463990,9.925228,5.330625,3.836447,
IQ_DEM,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.508372,3.754630,4.067256,-11.775977,8.794955,4.820137,6.151065,7.497632,6.992994,6.221809,7.852520,6.800016,3.409514,30.726801,3.759063,7.020530,8.876451,32.322909,4.255515,
Leakage_VCC_H,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000098,-0.000098,-0.000098,-0.000098,0.000000,0.000000,-0.000098,-0.000098,-0.000098,-0.000098,-0.000098,0.000000,-0.000098,-0.000098,-0.000098,0.000000,-0.000098,-0.000098,-0.000098,
