SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_out,Continuity_vin,Continuity_en,Continuity_pg,Continuity_pgdl,Continuity_fb,Leakage_out_h,Leakage_out_l,Leakage_vin_h,Leakage_en_h,Leakage_en_l,Leakage_pg_h,Leakage_pg_l,Leakage_pgdl_h,Leakage_pgdl_l,Leakage_fb_h,Leakage_fb_l,POR_rising,POR_falling,POR_hys,Ignd100,Ishd,Vfb,Vout_5,Ifb,Ilimit,Vdropout_5_50mA,Vdropout_5_300mA,Vline_regulation_5,Vout_6V,Vout_12V,Vout_20V,Vout_30V,Vout_40V,Vload_regulation_5,Vout_5mA,Vout_300mA,Tss,Ven_low,Ven_high,Ien,PG_rising,PG_hys,PG_low,PG_leakage,PGDL_charg,PGDL_rising,PGDL_falling,PG_reaction,Post_Ishd,Post_Ignd100,Post_Leakage_out_h,Post_Leakage_out_l,Post_Leakage_vin_h,Post_Leakage_en_h,Post_Leakage_en_l,Post_Leakage_pg_h,Post_Leakage_pg_l,Post_Leakage_pgdl_h,Post_Leakage_pgdl_l,Post_Leakage_fb_h,Post_Leakage_fb_l,Post_Continuity_out,Post_Continuity_vin,Post_Continuity_en,Post_Continuity_pg,Post_Continuity_pgdl,Post_Continuity_fb,
Unit,,,,ms,,V,V,V,V,V,V,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,uA,uA,V,V,uA,A,mV,mV,mV,V,V,V,V,V,mV,V,V,mS,v,v,uA,%,%,V,uA,uA,V,V,om,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,V,V,V,
No_7,125,True,1,1623,68,0.370,-0.313,-0.384,-0.393,-0.445,-0.351,,1.317,,,0.003,,0.002,,0.007,,0.313,2.8304,2.5130,0.3174,9.033,0.955,1.2565,3.3174,0.382,0.420,228.216,474.519,0.5293,3.3169,,,,3.3174,6.5855,3.3182,3.3116,0.9321,0.574,1.187,0.160,92.598,5.728,0.2198,0.0016,9.814,1.6810,0.4775,0.006,0.945,9.080,,1.452,,,0.002,,0.003,,0.008,,0.315,0.364,-0.309,-0.380,-0.389,-0.439,-0.349,
No_8,125,True,1,1623,68,0.355,-0.304,-0.374,-0.384,-0.432,-0.345,,1.740,,,0.003,,0.003,,0.009,,0.317,2.8361,2.5017,0.3344,9.290,0.981,1.2453,3.2863,0.427,0.407,230.178,477.678,2.8854,3.2859,,,,3.2888,4.3351,3.2858,3.2815,0.9995,0.565,1.193,0.169,93.262,5.975,0.2213,0.0025,10.113,1.6702,0.4676,0.006,0.957,9.299,,1.939,,,0.002,,0.004,,0.010,,0.320,0.347,-0.299,-0.369,-0.379,-0.426,-0.342,
No_7,-40,True,1,1610,68,0.580,-0.655,-0.701,-0.707,-0.766,-0.494,,0.064,,,0.009,,0.009,,0.004,,0.251,2.8763,2.5324,0.3439,7.093,0.707,1.2660,3.3506,0.311,0.470,136.520,281.924,-0.1681,3.3509,,,,3.3507,2.8553,3.3508,3.3480,0.8948,0.717,1.200,0.462,92.534,3.944,0.1486,0.0264,8.416,1.8709,0.6601,0.004,0.692,7.102,,0.047,,,-0.003,,0.022,,0.004,,0.251,0.579,-0.653,-0.699,-0.705,-0.765,-0.494,
No_8,-40,True,1,1610,68,0.579,-0.660,-0.705,-0.710,-0.770,-0.494,,0.064,,,0.002,,0.002,,0.002,,0.251,2.8531,2.5105,0.3426,7.003,0.705,1.2479,3.3062,0.385,0.450,134.731,277.632,-2.4011,3.3065,,,,3.3041,4.1482,3.3071,3.3029,1.0005,0.726,1.210,0.097,93.256,3.896,0.1465,0.0009,8.716,1.8699,0.6596,0.004,0.694,7.041,,0.055,,,-0.001,,0.001,,0.001,,0.251,0.579,-0.658,-0.703,-0.709,-0.768,-0.494,
No_9,25,True,1,1617,68,0.497,-0.465,-0.544,-0.552,-0.623,-0.426,,0.089,,,0.003,,0.002,,0.002,,0.277,2.8775,2.5391,0.3384,7.887,0.833,1.2646,3.3532,0.326,0.433,179.545,372.249,-0.9621,3.3542,,,,3.3532,4.6862,3.3533,3.3486,0.9260,0.646,1.190,0.117,92.864,4.893,0.1793,0.0000,10.174,1.7908,0.5891,0.005,0.798,7.862,,0.069,,,0.001,,0.002,,0.002,,0.277,0.499,-0.467,-0.546,-0.553,-0.625,-0.427,
No_10,25,True,1,1617,68,0.487,-0.451,-0.531,-0.539,-0.610,-0.418,,0.095,,,0.004,,0.002,,0.002,,0.281,2.8468,2.5004,0.3464,8.033,0.851,1.2496,3.2883,0.390,0.424,183.513,379.469,-3.2357,3.2917,,,,3.2884,3.5471,3.2891,3.2856,0.9509,0.636,1.180,0.126,93.103,5.007,0.1791,-0.0001,9.903,1.7805,0.5577,0.005,0.811,7.918,,0.073,,,0.002,,0.002,,0.002,,0.280,0.489,-0.453,-0.533,-0.541,-0.612,-0.419,
No_9,125,True,1,1625,68,0.316,-0.273,-0.343,-0.353,-0.399,-0.333,,3.553,,,0.008,,0.007,,0.014,,0.330,2.8651,2.5218,0.3433,9.397,1.043,1.2578,3.3286,0.378,0.410,239.674,498.439,-0.0732,3.3295,,,,3.3294,6.5450,3.3291,3.3226,0.9357,0.555,1.192,0.178,92.777,6.058,0.2318,0.0060,10.656,1.6603,0.4575,0.006,1.016,9.419,,3.741,,,0.007,,0.007,,0.014,,0.330,0.314,-0.270,-0.341,-0.350,-0.396,-0.332,
No_10,125,True,1,1625,68,0.312,-0.269,-0.339,-0.349,-0.395,-0.329,,3.923,,,0.010,,0.008,,0.017,,0.336,2.8359,2.5033,0.3327,9.607,1.083,1.2472,3.2847,0.420,0.411,240.969,499.952,-1.0822,3.2873,,,,3.2862,7.6486,3.2855,3.2778,0.9538,0.545,1.195,0.188,93.204,6.310,0.2295,0.0074,10.488,1.6506,0.4354,0.006,1.029,9.610,,4.139,,,0.007,,0.008,,0.017,,0.336,0.311,-0.266,-0.336,-0.346,-0.392,-0.328,
No_9,-40,False,17,1641,24,0.584,-0.672,-0.715,-0.720,-0.779,-0.502,,0.066,,,0.006,,0.006,,0.004,,0.246,2.8777,2.5498,0.3279,7.302,0.695,1.2696,3.3658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No_10,-40,True,1,1641,68,0.584,-0.672,-0.715,-0.721,-0.779,-0.500,,0.071,,,0.002,,0.002,,0.003,,0.248,2.8131,2.5014,0.3117,7.392,0.696,1.2469,3.2811,0.389,0.459,133.058,273.412,-3.4272,3.2827,,,,3.2793,4.4409,3.2802,3.2757,0.9375,0.727,1.200,0.098,92.958,4.055,0.1436,0.0001,9.609,1.8795,0.6681,0.004,0.679,7.367,,0.056,,,0.002,,0.002,,0.001,,0.247,0.584,-0.671,-0.714,-0.720,-0.778,-0.500,
