3,7,TRUE,1,1153,39,0.505,-0.48,-0.581,-0.568,-0.398,-0.577,,3.89,,,0.156,,0.035,,0.029,,0.331,12.309,0.148,1.273,4.988,0.885,1.03,144.384,413.638,27.754,-434.119,0.765,0.03,1.99,-0.001,90.634,4.997,0.349,-0.011,5.714,1.652,0.38,0.035
4,7,TRUE,1,1153,39,0.505,-0.478,-0.58,-0.568,-0.396,-0.577,,3.582,,,0.197,,0.041,,0.041,,0.351,12.048,0.152,1.268,5.01,0.892,0.96,125.659,420.868,25.246,-449.743,0.776,0.03,1.99,0,91.372,4.862,0.338,-0.017,5.689,1.648,0.383,0.036
1,8,TRUE,1,1153,39,0.505,-0.48,-0.581,-0.568,-0.403,-0.577,,2.98,,,0.196,,0.023,,0.021,,0.329,12.033,0.111,1.265,4.99,0.875,0.94,141.947,420.479,30.142,-451.54,0.766,0.03,1.99,-0.001,91.687,5.207,0.362,-0.03,5.568,1.641,0.384,0.034
2,8,TRUE,1,1153,39,0.506,-0.481,-0.581,-0.568,-0.4,-0.577,,1.937,,,0.197,,0.029,,0.058,,0.327,11.72,0.158,1.265,4.979,0.878,0.87,152.231,434.777,31.628,-472.912,0.805,0.03,1.99,0,91.607,4.751,0.322,-0.008,5.456,1.642,0.358,0.035
3,8,TRUE,1,1153,39,0.505,-0.48,-0.581,-0.568,-0.398,-0.577,,3.841,,,0.171,,0.029,,0.038,,0.324,12.308,0.152,1.273,4.987,0.886,1.03,144.346,413.852,28.773,-434.2,0.766,0.03,1.99,-0.001,90.654,5.612,0.349,-0.012,5.715,1.652,0.38,0.035
4,8,TRUE,1,1153,39,0.505,-0.478,-0.58,-0.567,-0.396,-0.576,,3.583,,,0.202,,0.04,,0.04,,0.359,12.052,0.143,1.268,5.01,0.89,0.96,126.575,421.165,23.76,-449.792,0.774,0.03,1.99,-0.001,91.365,4.984,0.338,-0.017,5.688,1.648,0.383,0.036
1,9,TRUE,1,1153,39,0.505,-0.48,-0.581,-0.568,-0.402,-0.577,,3.036,,,0.204,,0.028,,0.029,,0.323,12.033,0.109,1.265,4.991,0.874,0.94,141.161,420.647,29.532,-451.59,0.765,0.03,1.99,0,91.689,5.154,0.361,-0.03,5.57,1.642,0.384,0.034
2,9,TRUE,1,1153,39,0.506,-0.481,-0.581,-0.568,-0.4,-0.577,,2.022,,,0.196,,0.038,,0.044,,0.323,11.722,0.153,1.265,4.98,0.878,0.87,151.941,434.761,30.359,-472.981,0.804,0.03,1.99,0,91.517,4.938,0.322,-0.008,5.454,1.642,0.358,0.035
3,9,TRUE,1,1153,39,0.505,-0.48,-0.581,-0.568,-0.398,-0.577,,3.876,,,0.162,,0.031,,0.033,,0.326,12.311,0.148,1.273,4.988,0.884,1.03,144.895,413.943,28.885,-434.225,0.764,0.03,1.99,-0.001,90.641,4.571,0.349,-0.014,5.714,1.651,0.379,0.035
4,9,TRUE,1,1153,39,0.505,-0.478,-0.58,-0.567,-0.396,-0.576,,3.585,,,0.203,,0.036,,0.04,,0.357,12.046,0.146,1.268,5.011,0.891,0.96,125.629,421.226,23.206,-449.923,0.775,0.03,1.99,0,91.355,4.641,0.338,-0.016,5.687,1.648,0.382,0.036
1,10,TRUE,1,1153,39,0.505,-0.48,-0.581,-0.568,-0.402,-0.576,,3.024,,,0.196,,0.034,,0.027,,0.326,12.034,0.107,1.265,4.991,0.875,0.94,142.321,420.807,29.034,-451.658,0.763,0.03,1.99,0,91.795,5.222,0.362,-0.029,5.569,1.642,0.382,0.034
2,10,TRUE,1,1153,39,0.506,-0.481,-0.581,-0.568,-0.4,-0.576,,1.922,,,0.2,,0.026,,0.055,,0.314,11.722,0.158,1.265,4.98,0.879,0.87,152.269,434.883,30.265,-472.9,0.804,0.03,1.99,0,91.614,5.218,0.322,-0.007,5.453,1.642,0.357,0.035
3,10,TRUE,1,1153,39,0.505,-0.48,-0.581,-0.568,-0.398,-0.576,,3.872,,,0.156,,0.036,,0.028,,0.327,12.306,0.144,1.273,4.987,0.884,1.03,145.139,413.936,28.742,-434.325,0.764,0.03,1.99,-0.001,90.638,5.451,0.349,-0.01,5.714,1.652,0.38,0.035
4,10,TRUE,1,1153,39,0.505,-0.478,-0.58,-0.567,-0.396,-0.576,,3.649,,,0.19,,0.029,,0.035,,0.346,12.05,0.154,1.268,5.01,0.89,0.96,126.933,421.287,23.169,-450.004,0.773,0.03,1.99,0,91.327,5.667,0.338,-0.018,5.687,1.647,0.386,0.036
